 6 99.75460 99.08287 97.79030 97.31453  
 7 98.19348 97.12898 96.87681 96.09675  
 8 96.55322 95.29265 95.62660 94.68694  
 9 96.22321 94.70851 95.51816 94.34604  
 10 95.83332 94.21776 95.28718 93.98470  
 11 95.78579 94.09619  95.32660 93.92273  
 12 95.73460 94.02036  95.34072  93.88021 
 13 95.73331 93.99475 95.38265  93.87463  
14 95.73278 93.97612 95.41640 93.87089  
16 95.73274 93.95049 95.46757 93.86612  
 18 95.73274  93.93370 95.50430  93.86328 
 20 95.73274 93.92186 95.53202 93.86145  
