 5 41.10885 40.62285 40.24607 39.92061  
 6 40.75051 39.98939 40.17461 39.63910  
 7 40.30272 39.42398 39.90763 39.34639  
 8 40.26375 39.30358 39.95054 39.19076  
 9 40.21669 39.23755 39.96118 39.15404  
 10 40.21625 39.21784 39.99480 39.14955  
 11 40.21619  39.20457 40.02056 39.14673 
 12 40.21617 39.19486  40.04086 39.14471  
 13 40.21614 39.18748 40.05731 39.14323   
14 40.21614 39.18171 40.07093 39.14214  
16 40.21614 39.17328 40.09216 39.14062  
 18 40.21614 39.16742 40.10795 39.13965  
 20 40.21614 39.16313 40.12017 39.13899  
