 5 27.59611 27.17675 26.73363 26.47883  
 6 27.19490 26.49848 26.62070 26.17776  
 7 26.72253 25.92512 26.33443 25.78604  
 8 26.65115 25.74255 26.35283 25.68518  
 9 26.55970 25.65997 26.32718 25.62207  
 10 26.55443 25.64839  26.35564 25.61791  
 11 26.55004 25.64090 26.37645 25.61530  
 12 26.55004 25.63619 26.39496 25.61416   
 13 26.55003 25.63261 26.40984 25.61330   
14 26.55003 25.62985 26.42207 25.61265  
16 26.55002 25.62587 26.44104 25.61177  
 18 26.55002 25.62316 26.45508 25.61121 
 20 26.55002 25.62121 26.46590 25.61084  
 
